"","start.station.id","X","start.station.latitude","start.station.longitude","hire","start.station.name"
"532",3383,439,40.804213,-73.96699104,1286,"Cathedral Pkwy & Broadway"
"472",3320,469,40.7940666081855,-73.9628684520721,1272,"Central Park West & W 100 St"
"109",340,224,40.71269042,-73.98776323,1266,"Madison St & Clinton St"
"439",3285,379,40.78839,-73.9747,1266,"W 87 St & Amsterdam Ave"
"349",3110,572,40.72708584,-73.95299117,1262,"Meserole Ave & Manhattan Ave"
"96",324,308,40.689888,-73.981013,1260,"DeKalb Ave & Hudson Ave"
"47",258,426,40.68940747,-73.96885458,1254,"DeKalb Ave & Vanderbilt Ave"
"590",3457,397,40.7630259428052,-73.9720952510834,1254,"E 58 St & Madison Ave"
"57",270,401,40.69308257,-73.97178913,1250,"Adelphi St & Myrtle Ave"
"127",360,35,40.70717936,-74.00887308,1243,"William St & Pine St"
"103",332,326,40.71219906,-73.97948148,1240,"Cherry St"
"475",3323,491,40.7981856,-73.9605909006,1240,"W 106 St & Central Park West"
"250",516,433,40.75206862,-73.96784384,1233,"E 47 St & 1 Ave"
"281",2009,125,40.71117444,-73.99682619,1232,"Catherine St & Monroe St"
"443",3290,638,40.7779453,-73.946041,1222,"E 89 St & York Ave"
"512",3362,488,40.7781314,-73.96069399,1219,"Madison Ave & E 82 St"
"504",3354,390,40.668132,-73.97363831,1211,"3 St & Prospect Park West"
"604",3486,261,40.6884174275408,-73.9845165610313,1200,"Schermerhorn St & Bond St"
"351",3113,561,40.73026,-73.95394,1198,"Greenpoint Ave & Manhattan Ave"
"528",3378,475,40.773763,-73.96222088,1185,"E 76 St & Park Ave"
"15",157,129,40.69089272,-73.99612349,1182,"Henry St & Atlantic Ave"
"506",3356,259,40.7746671,-73.98470567,1176,"Amsterdam Ave & W 66 St"
"445",3293,384,40.7921,-73.9739,1171,"W 92 St & Broadway"
"418",3232,277,40.6896218879033,-73.9830426871777,1170,"Bond St & Fulton St"
"41",249,34,40.71870987,-74.0090009,1169,"Harrison St & Hudson St"
"65",282,429,40.7076449441757,-73.9684152603149,1167,"Kent Ave & S 11 St"
"58",274,358,40.68691865,-73.976682,1160,"Lafayette Ave & Fort Greene Pl"
"531",3382,141,40.680611,-73.99475825,1160,"Carroll St & Smith St"
"107",337,41,40.7037992,-74.00838676,1158,"Old Slip & Front St"
"69",291,256,40.713126,-73.984844,1157,"Madison St & Montgomery St"
