"","start.station.id","start.station.latitude","start.station.longitude","hire"
"317",342,40.71739973,-73.98016555,1431
"318",484,40.75500254,-73.98014437,2916
"319",393,40.72299208,-73.97995466,1431
"320",2001,40.699773,-73.979927,380
"321",3235,40.752165280622,-73.9799219369888,1780
"322",3297,40.6686627,-73.97988067,504
"323",3443,40.7613298312481,-73.9798200130463,4271
"324",507,40.73912601,-73.97973776,3490
"325",476,40.74394314,-73.97966069,2877
"326",332,40.71219906,-73.97948148,1230
"327",3423,40.6610633719006,-73.9794525504112,1822
"328",243,40.688226,-73.979382,706
"329",3164,40.7770575,-73.97898475,3895
"330",467,40.68312489,-73.97895137,1538
"331",3632,40.7280485713626,-73.9788115024567,2726
"332",3361,40.6740886,-73.9787282,789
"333",3360,40.7829391,-73.9786517,1857
"334",3417,40.6795766,-73.97854971,801
"335",3339,40.6765304,-73.97846879,533
"336",3365,40.6703837,-73.97839676,856
"337",3458,40.763093872708,-73.9783501625061,2904
"338",545,40.736502,-73.97809472,3573
"339",3233,40.7572456791173,-73.978059142828,3637
"340",119,40.69608941,-73.97803415,199
"341",302,40.72082834,-73.97793172,1489
"342",517,40.751581,-73.97791,3852
"343",3429,40.6850680730818,-73.9779075980186,2580
"344",3431,40.746524,-73.977885,1952
"345",3163,40.7734066,-73.97782542,3581
"346",519,40.751873,-73.977706,11231
"347",394,40.72521311,-73.97768752,2322
"348",3172,40.7785669,-73.97754961,1416
"349",174,40.7381765,-73.97738662,2694
"350",3161,40.7801839724239,-73.9772853255272,2119
"351",3434,40.7902541733042,-73.9771834015846,956
"352",3177,40.7867947,-73.977112,1417
"353",528,40.74290902,-73.97706058,2564
"354",245,40.69327018,-73.97703874,482
"355",3437,40.7931348098666,-73.9770036935806,784
"356",2012,40.739445,-73.976806,2208
"357",411,40.72228087,-73.97668709,1279
"358",274,40.68691865,-73.976682,1142
"359",3171,40.78524672,-73.97667321,1861
"360",520,40.75992262,-73.97648516,2732
"361",3300,40.6651468153379,-73.9763760566711,780
"362",2006,40.76590936,-73.97634151,5211
"363",83,40.68382604,-73.97632328,879
"364",341,40.71782143,-73.97628939,607
"365",3165,40.7757937668367,-73.9762057363987,3649
"366",527,40.744023,-73.976056,3677
"367",167,40.7489006,-73.97604882,2684
"368",266,40.72368361,-73.97574813,1046
"369",487,40.73314259,-73.97573881,3061
"370",3414,40.6809447234773,-73.9756733179092,839
"371",536,40.74144387,-73.97536082,3155
"372",3346,40.6751468387098,-73.9752320945263,1025
"373",3415,40.6793307,-73.97519523,584
"374",359,40.75510267,-73.97498696,5235
"375",241,40.68981035,-73.97493121,901
"376",3358,40.6711978,-73.97484126,733
"377",3468,40.7303801,-73.9747502,43
"378",3485,40.725208,-73.974724,2
"379",3285,40.78839,-73.9747,1243
"380",353,40.68539567,-73.97431458,595
"381",339,40.72580614,-73.97422494,796
"382",3307,40.7941654,-73.974124,877
"383",456,40.7597108,-73.97402311,1950
"384",3293,40.7921,-73.9739,1162
"385",3663,40.6771648946906,-73.973827958107,980
"386",3160,40.77896784,-73.97374737,1906
"387",242,40.697787,-73.973736,893
"388",262,40.6917823,-73.9737299,802
"389",281,40.7643971,-73.97371465,5851
"390",3354,40.668132,-73.97363831,1197
"391",419,40.69580705,-73.97355569,515
"392",518,40.74780373,-73.9734419,3477
"393",3289,40.7901794809508,-73.9728891849518,957
"394",3170,40.78499979,-73.97283406,1990
"395",440,40.75255434,-73.97282625,2150
"396",416,40.68753406,-73.97265183,961
"397",3457,40.7630259428052,-73.9720952510834,1237
"398",522,40.75714758,-73.97207836,2031
"399",3314,40.7937704,-73.971888,1534
"400",228,40.7546011026,-73.971878855,1662
"401",270,40.69308257,-73.97178913,1235
"402",3136,40.766368,-73.971518,957
"403",3462,40.7511838746328,-73.9713871479034,1293
"404",3226,40.78275,-73.97137,1770
"405",421,40.69573398,-73.97129668,405
"406",501,40.744219,-73.97121214,3015
"407",3331,40.8013434,-73.9711457439,850
"408",3418,40.6750207,-73.97111473,1354
"409",3132,40.76350532,-73.97109243,1762
"410",3537,40.6809741,-73.9710097,568
"411",2005,40.70531194,-73.97100056,96
"412",3349,40.6729679,-73.97087984,1527
"413",3648,40.6979503156954,-73.970775604248,820
"414",3283,40.7882213,-73.97041561,1808
"415",3350,40.7973721,-73.97041192,1504
"416",164,40.75323098,-73.97032517,1747
"417",2023,40.75968085,-73.97031366,1569
"418",343,40.69794,-73.96986848,674
"419",420,40.68764484,-73.96968902,734
"420",3168,40.78472675,-73.96961715,2739
"421",3459,40.7576322773944,-73.9693057537079,1843
"422",397,40.68415748,-73.96922273,493
"423",455,40.75001986,-73.96905301,2050
"424",3576,40.6767,-73.969024,953
"425",366,40.693261,-73.968896,1337
"426",258,40.68940747,-73.96885458,1229
"427",3223,40.7589965596051,-73.9686539769173,2380
"428",3355,40.7680088930595,-73.9684528112411,687
"429",282,40.7076449441757,-73.9684152603149,1155
"430",3366,40.8021174,-73.9681805305,797
"431",3301,40.7919557,-73.968087,1697
"432",3558,40.6794388,-73.9680438,776
"433",516,40.75206862,-73.96784384,1212
"434",313,40.69610226,-73.96751037,855
"435",441,40.756014,-73.967416,2469
"436",305,40.76095756,-73.96724467,2789
"437",3581,40.6740123,-73.9671457,722
"438",3359,40.7691572,-73.96703464,745
"439",3383,40.804213,-73.96699104,1262
"440",3137,40.77282817,-73.96685276,2679
"441",3155,40.76440023,-73.96648977,1342
"442",3357,40.8008363,-73.9664492472,847
